,file,player,ss_type,opening_failure,battle_id,match_result,match_duration,left_team_kills,right_team_kills,left_heroes,right_heroes,left_medals,right_medals,left_scores,right_scores
0, tiktok/Screenshot_20230410-234927.jpg, tiktok,Result,False,618610648199475776,Victory,18.983333333333334,24,22,"['Silvanna', 'Claude', 'Paquito', 'Gord', 'Martis']","['Edith', 'Pharsa', 'Brody', 'Angela', 'Ling']","['Gold', 'Gold', 'Gold', 'Silver', 'MVP Win']","['Gold', 'Silver', 'Bronze', 'Silver', 'MVP Lose']","[6.9, 8.1, 6.5, 5.6, 9.2]","[8.7, 5.4, 4.0, 5.7, 9.5]"
1, tiktok/Screenshot_20230410-234936.jpg, tiktok,Result,False,617814773579656478,Defeat,14.9,6,34,"['Estes', 'Pharsa', 'Fredrinn', 'Moskov', 'Silvanna']","['Lapu-Lapu', 'Lesley', 'Xavier', 'Martis', 'Atlas']","['Bronze', 'Bronze', 'Bronze', 'Bronze', 'Bronze']","['Gold', 'Gold', 'Gold', 'MVP Win', 'Gold']","[3.0, 3.0, 3.8, 4.0, 3.5]","[11.3, 8.6, 10.5, 14.8, 10.1]"
2, tiktok/Screenshot_20230410-234954.jpg, tiktok,Result,False,700274323141957841,Victory,16.366666666666667,26,32,"['Melissa', 'Gusion', 'Atlas', 'Karina', 'Silvanna']","['Kaja', 'Beatrix', 'Valentina', 'Lolita', 'Fanny']","['Gold', 'Bronze', 'Gold', 'Gold', 'MVP Win']","['Silver', 'Silver', 'Silver', 'Gold', 'MVP Lose']","[7.9, 4.3, 8.0, 7.6, 9.5]","[6.0, 7.2, 7.1, 7.3, 9.9]"
3, tiktok/Screenshot_20230410-235003.jpg, tiktok,Result,False,699408277346456578,Defeat,15.0,13,29,"['Freya', 'Brody', 'Silvanna', 'Lancelot', 'Julian']","['Valentina', 'Kadita', 'Terizla', 'Wanwan', 'Fredrinn']","['Silver', 'Bronze', 'Silver', 'Silver', 'Bronze']","['Silver', 'Gold', 'Gold', 'MVP Win', 'Gold']","[5.7, 3.7, 4.9, 5.5, 3.0]","[6.6, 8.0, 9.8, 10.1, 7.5]"
4, tiktok/Screenshot_20230410-235023.jpg, tiktok,Result,False,612670089953808069,Victory,11.7,25,7,"['Arlott', 'Lolita', 'Lesley', 'Pharsa', 'Silvanna']","['Melissa', 'Valir', 'Aldous', 'Franco', 'Fredrinn']","['Gold', 'MVP Win', 'Gold', 'Gold', 'Gold']","['Bronze', 'Bronze', 'MVP Lose', 'Bronze', 'Bronze']","[8.3, 10.0, 9.6, 9.4, 8.7]","[3.6, 3.9, 7.0, 3.4, 4.0]"
5, tiktok/Screenshot_20230410-235032.jpg, tiktok,Result,False,593088311849065812,Defeat,15.766666666666667,23,26,"['Silvanna', 'Claude', 'Fanny', 'Martis', 'Gusion']","['Lolita', 'Moskov', 'Joy', 'Alucard', 'Aldous']","['MVP Lose', 'Silver', 'Silver', 'Silver', 'Gold']","['Silver', 'Gold', 'Silver', 'Gold', 'MVP Win']","[9.0, 6.5, 7.0, 6.2, 8.2]","[5.1, 6.3, 5.0, 8.4, 10.2]"
6, tiktok/Screenshot_20230410-235041.jpg, tiktok,Result,False,589921877274850046,Victory,13.616666666666667,25,10,"['Estes', 'Silvanna', 'Gloo', 'Brody', 'Martis']","['Khufra', 'Pharsa', 'Beatrix', 'Terizla', 'Ling']","['Gold', 'Silver', 'Silver', 'Gold', 'MVP Win']","['Bronze', 'Silver', 'Bronze', 'Silver', 'MVP Lose']","[10.5, 7.2, 6.5, 11.1, 11.9]","[4.0, 5.1, 3.9, 4.9, 6.5]"
7, tiktok/Screenshot_20230410-235059.jpg, tiktok,Result,False,585934240658675107,Victory,12.233333333333333,26,19,"['Melissa', 'Valentina', 'Natalia', 'Ruby', 'Silvanna']","['Lapu-Lapu', 'Hilda', 'Beatrix', 'Xavier', 'Hayabusa']","['Gold', 'MVP Win', 'Silver', 'Silver', 'Gold']","['MVP Lose', 'Bronze', 'Gold', 'Silver', 'Silver']","[7.0, 7.7, 6.4, 6.5, 7.3]","[8.3, 5.2, 6.2, 5.2, 6.1]"
8, tiktok/Screenshot_20230410-235118.jpg, tiktok,Result,False,585021096251805632,Defeat,19.183333333333334,29,34,"['Minsitthar', 'Melissa', 'Ling', 'Selena', 'Silvanna']","['Franco', 'Hanabi', 'Valentina', 'X.Borg', 'Martis']","['Gold', 'MVP Lose', 'Bronze', 'Silver', 'Silver']","['Gold', 'Gold', 'Silver', 'Gold', 'MVP Win']","[6.7, 8.0, 5.2, 5.4, 6.1]","[6.9, 8.3, 6.2, 6.9, 10.1]"
9, tiktok/Screenshot_20230410-235127.jpg, tiktok,Result,False,583378176771802508,Victory,14.2,24,17,"['Silvanna', 'Granger', 'Xavier', 'Estes', 'Lesley']","['Faramis', 'Martis', 'Beatrix', 'Atlas', 'Terizla']","['Gold', 'Gold', 'MVP Win', 'Silver', 'Gold']","['Silver', 'Gold', 'Silver', 'Bronze', 'MVP Lose']","[7.6, 10.6, 11.1, 7.3, 7.8]","[5.6, 6.8, 5.4, 4.2, 7.9]"
