hero,opponent,games,wins,losses,win_rate,source
Edith,Arlott,23,12,11,0.5217,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Edith,Moskov,23,12,11,0.5217,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Edith,Nolan,23,11,12,0.4783,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Edith,Ruby,21,9,12,0.4286,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Edith,Roger,20,9,11,0.45,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Valentina,Roger,20,11,9,0.55,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Valentina,Moskov,16,8,8,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Valentina,Arlott,16,4,12,0.25,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Valentina,Edith,15,10,5,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Valentina,Nolan,15,10,5,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Harith,Lunox,23,12,11,0.5217,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Harith,Roger,22,14,8,0.6364,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Harith,Edith,20,14,6,0.7,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Harith,Zhask,19,13,6,0.6842,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Harith,Ruby,16,9,7,0.5625,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hylos,Phoveus,22,11,11,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hylos,Nolan,20,12,8,0.6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hylos,Edith,19,11,8,0.5789,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hylos,Moskov,19,10,9,0.5263,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hylos,Zhask,15,10,5,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Roger,Moskov,26,13,13,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Roger,Harith,22,8,14,0.3636,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Roger,Terizla,20,13,7,0.65,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Roger,Edith,20,11,9,0.55,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Roger,Valentina,20,9,11,0.45,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nolan,Edith,23,12,11,0.5217,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nolan,Alpha,20,10,10,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nolan,Hylos,20,8,12,0.4,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nolan,Vexana,16,11,5,0.6875,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
