hero,total_games,wins,losses,win_rate,bans,picks_bans,source
Edith,98,47,51,0.4796,43,141,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Faramis,50,33,17,0.66,26,76,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Claude,39,17,22,0.4359,16,55,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Tigreal,35,18,17,0.5143,18,53,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Jawhead,31,12,19,0.3871,12,43,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lunox,23,12,11,0.5217,0,23,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Arlott,23,12,11,0.5217,0,23,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nolan,23,11,12,0.4783,0,23,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Phoveus,22,11,11,0.5,0,22,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Luo Yi,22,14,8,0.6364,8,30,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Fanny,21,6,15,0.2857,6,27,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ruby,21,9,12,0.4286,0,21,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Terizla,20,13,7,0.65,0,20,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Grock,20,9,11,0.45,9,29,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Zhask,20,8,12,0.4,0,20,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Vexana,18,7,11,0.3889,0,18,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Roger,18,8,10,0.44439999999999996,0,18,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hylos,17,10,7,0.5882000000000001,0,17,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Barats,17,9,8,0.5294,7,24,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Valentina,17,5,12,0.29410000000000003,0,17,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
