hero,partner,games,wins,losses,win_rate,source
Edith,Zhask,20,8,12,0.4,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Edith,Roger,18,8,10,0.44439999999999996,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Edith,Alpha,17,6,11,0.3529,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Edith,Valentina,17,5,12,0.29410000000000003,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Edith,Moskov,16,7,9,0.4375,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Valentina,Roger,17,7,10,0.4118,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Valentina,Edith,17,5,12,0.29410000000000003,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Valentina,Harith,16,8,8,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Valentina,Arlott,14,8,6,0.5714,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Valentina,Ruby,14,7,7,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Harith,Nolan,18,10,8,0.5556,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Harith,Hylos,17,10,7,0.5882000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Harith,Arlott,16,11,5,0.6875,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Harith,Valentina,16,8,8,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Harith,Alpha,13,7,6,0.5385,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hylos,Vexana,18,7,11,0.3889,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hylos,Harith,17,10,7,0.5882000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hylos,Nolan,16,13,3,0.8125,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hylos,Roger,12,7,5,0.5832999999999999,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Hylos,Ling,11,6,5,0.5455,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Roger,Ruby,19,11,8,0.5789,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Roger,Edith,18,8,10,0.44439999999999996,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Roger,Valentina,17,7,10,0.4118,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Roger,Aurora,16,9,7,0.5625,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Roger,Arlott,15,9,6,0.6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nolan,Phoveus,20,12,8,0.6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nolan,Harith,18,10,8,0.5556,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nolan,Hylos,16,13,3,0.8125,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nolan,Natan,14,6,8,0.4286,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Nolan,Edith,13,6,7,0.46149999999999997,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Alpha,Mathilda,17,13,4,0.7646999999999999,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Alpha,Edith,17,6,11,0.3529,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Alpha,Yve,15,5,10,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Alpha,Harith,13,7,6,0.5385,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Alpha,Moskov,11,6,5,0.5455,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Moskov,Julian,20,6,14,0.3,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Moskov,Edith,16,7,9,0.4375,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Moskov,Phoveus,15,7,8,0.4667,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Moskov,Zhask,13,6,7,0.46149999999999997,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Moskov,Ruby,13,5,8,0.3846,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ruby,Roger,19,11,8,0.5789,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ruby,Valentina,14,7,7,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ruby,Ling,14,6,8,0.4286,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ruby,Moskov,13,5,8,0.3846,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Ruby,Nolan,12,6,6,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Phoveus,Nolan,20,12,8,0.6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Phoveus,Moskov,15,7,8,0.4667,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Phoveus,Yve,14,11,3,0.7857,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Phoveus,Roger,13,8,5,0.6154,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Phoveus,Lunox,12,9,3,0.75,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Terizla,Roger,13,7,6,0.5385,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Terizla,Valentina,13,6,7,0.46149999999999997,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Terizla,Moskov,12,7,5,0.5832999999999999,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Terizla,Harith,12,5,7,0.4167,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Terizla,Ruby,11,7,4,0.6364,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Zhask,Edith,20,8,12,0.4,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Zhask,Roger,15,9,6,0.6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Zhask,Moskov,13,6,7,0.46149999999999997,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Zhask,Hayabusa,13,4,9,0.3077,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Zhask,Karrie,10,3,7,0.3,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Arlott,Harith,16,11,5,0.6875,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Arlott,Roger,15,9,6,0.6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Arlott,Valentina,14,8,6,0.5714,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Arlott,Moskov,12,4,8,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Arlott,Hayabusa,9,3,6,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yve,Alpha,15,5,10,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yve,Phoveus,14,11,3,0.7857,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yve,Nolan,12,10,2,0.8332999999999999,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yve,Gatotkaca,12,7,5,0.5832999999999999,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Yve,Hylos,10,7,3,0.7,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Faramis,Edith,14,11,3,0.7857,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
